Yaw;Pitch;Roll;Ang_vel_x;Ang_vel_y;Ang_vel_z;u(z);t;setpoint;pwm
355.3125;-0.625;-1.625;-0.02;0.01;-0.01;0.00364;0;160;16.49
355.3125;-0.5625;-1.6875;-0.01;0.02;0;0.00363;0.04;160;26.89
355.3125;-0.5;-1.6875;-0.01;0.01;0;0.00361;0.09;160;41.37
355.3125;-0.5;-1.75;0;0.02;-0.01;0.00362;0.13;160.02;54.1
355.3125;-0.5;-1.8125;0;0.01;-0.01;0.00358;0.18;160.05;67.55
355.3125;-0.5;-1.8125;0.02;0;0;0.00353;0.36;160.09;117.36
355.3125;-0.5;-1.875;0.02;0;-0.01;0.00348;0.37;160.09;118.05
355.3125;-0.5625;-1.875;0.02;-0.01;-0.01;0.00351;0.38;160.36;122.22
355.3125;-0.625;-1.875;0.02;-0.01;0;0.00343;0.43;160.4;136.02
355.3125;-0.625;-1.875;0.01;-0.01;0.01;0.00338;0.47;160.51;147.19
355.3125;-0.6875;-1.8125;0.01;-0.02;0.01;0.00333;0.52;160.61;160.03
355.3125;-0.6875;-1.8125;0.01;-0.01;0.05;0.00312;0.57;160.75;171.39
355.1875;-0.75;-1.75;-0.01;-0.01;0.15;0.00263;0.75;160.88;208.44
355.1875;-0.75;-1.75;-0.01;-0.01;0.18;0.00239;0.75;160.88;208.67
354.25;-0.6875;-1.5625;-0.01;0;0.2;0.00232;0.76;161.53;210.78
353.6875;-0.6875;-1.5625;-0.02;0.01;0.27;0.00197;0.8;161.57;217.17
353.1875;-0.625;-1.5;-0.02;0.02;0.35;0.00152;0.85;161.75;223.06
352.375;-0.625;-1.5;-0.01;0.02;0.45;0.00102;0.9;161.97;227.08
351.25;-0.5625;-1.5625;-0.01;0.03;0.52;0.00068;0.96;162.2;229.81
349.9375;-0.625;-1.5625;0.02;0.03;0.54;0.00054;1.22;162.45;240.79
349.9375;-0.625;-1.5625;0.02;0.02;0.57;0.00033;1.22;162.45;240.83
342.5625;-0.875;-1.6875;0.02;0.01;0.65;-0.00009;1.24;163.93;240.66
340.8125;-0.9375;-1.6875;0.02;0;0.73;-0.00047;1.29;164.08;238.95
338.875;-1.0625;-1.6875;0.01;-0.01;0.81;-0.00091;1.46;164.38;226.97
338.875;-1.0625;-1.6875;0.01;0;0.81;-0.00097;1.46;164.38;226.87
332.75;-1.3125;-1.5;0;0;0.81;-0.00097;1.49;165.54;224.58
330.5;-1.3125;-1.375;-0.01;0.01;0.8;-0.00093;1.54;165.76;220.92
328.3125;-1.375;-1.3125;-0.01;0.02;0.79;-0.0009;1.59;166.13;217.54
326.0625;-1.375;-1.25;-0.01;0.03;0.78;-0.00088;1.63;166.5;214.32
323.9375;-1.375;-1.25;-0.01;0.03;0.77;-0.00087;1.68;166.87;211.11
321.75;-1.375;-1.3125;0;0.04;0.8;-0.0011;1.9;167.24;191.74
316.0625;-1.4375;-1.375;0.01;0.03;0.82;-0.00121;1.91;167.24;191.57
313.8125;-1.4375;-1.4375;0.01;0.03;0.81;-0.00121;1.91;169.16;190.79
311.5625;-1.5;-1.4375;0.02;0.02;0.8;-0.00118;1.96;169.24;186.59
309.375;-1.5;-1.4375;0.02;0.02;0.79;-0.00117;2.01;169.64;181.99
307.625;-1.5625;-1.4375;0.01;0;0.72;-0.00091;2.25;170.09;165.06
301.3125;-1.6875;-1.25;0;-0.01;0.69;-0.00082;2.25;170.09;164.94
299.375;-1.6875;-1.1875;-0.01;0;0.68;-0.00084;2.26;172.34;164.58
297.4375;-1.6875;-1.125;-0.01;0;0.66;-0.00076;2.3;172.4;161.85
295.625;-1.6875;-1.0625;-0.01;0.01;0.63;-0.00068;2.49;172.84;151.67
292.375;-1.625;-0.9375;-0.01;0.02;0.62;-0.00065;2.49;172.84;151.56
290.625;-1.5625;-0.9375;0;0.03;0.6;-0.0006;2.5;174.76;151.46
288.9375;-1.5625;-0.9375;0;0.03;0.59;-0.00058;2.54;174.78;149.39
287.3125;-1.5625;-0.9375;0;0.03;0.57;-0.00054;2.59;175.25;147.31
286;-1.5;-1;0.01;0.03;0.56;-0.00054;2.64;175.75;145.28
284.4375;-1.5;-1.0625;0.01;0.03;0.55;-0.00048;2.69;176.24;143.4
282.9375;-1.5;-1.0625;0.02;0.02;0.52;-0.00041;2.84;176.76;138.65
280.25;-1.5625;-1.125;0.01;0.01;0.51;-0.00037;2.84;176.76;138.59
278.8125;-1.625;-1.125;0.01;0;0.5;-0.00038;2.87;178.3;137.59
277.6875;-1.625;-1.0625;0.01;-0.01;0.48;-0.00034;2.92;178.65;136.29
276.375;-1.625;-1.0625;0;-0.01;0.47;-0.00031;2.97;179.16;135.19
275.0625;-1.625;-1;-0.01;-0.01;0.45;-0.00024;3.01;179.63;134.25
274;-1.625;-0.9375;-0.01;-0.01;0.44;-0.00023;3.18;180.15;131.19
274;-1.625;-0.9375;-0.01;0;0.42;-0.00019;3.19;181.93;131.16
270.375;-1.5;-0.8125;-0.01;0.01;0.43;-0.00026;3.21;181.95;130.77
269.1875;-1.4375;-0.8125;-0.01;0.01;0.43;-0.00031;3.25;182.15;129.6
268.1875;-1.4375;-0.75;-0.01;0.02;0.43;-0.00033;3.3;182.64;128.32
267;-1.375;-0.75;0;0.03;0.43;-0.00033;3.35;183.16;127.2
265.8125;-1.375;-0.8125;0.01;0.03;0.41;-0.00031;3.53;183.62;122.88
263.75;-1.375;-0.875;0.02;0.03;0.41;-0.00027;3.53;183.62;122.85
262.625;-1.375;-0.9375;0.02;0.02;0.39;-0.00029;3.54;185.48;122.62
261.5;-1.375;-0.9375;0.02;0.02;0.4;-0.00033;3.59;185.58;121.37
260.375;-1.4375;-1;0.02;0.01;0.4;-0.00036;3.63;186.06;120.05
259.5;-1.5;-1;0.01;0.01;0.39;-0.00036;3.68;186.52;118.75
258.4375;-1.5;-1;0.01;0;0.39;-0.00038;3.73;186.97;117.36
257.5625;-1.5;-0.9375;0;-0.01;0.38;-0.00038;3.88;187.43;112.83
255.4375;-1.5;-0.875;-0.01;-0.01;0.38;-0.00034;3.88;187.43;112.79
254.375;-1.5;-0.875;-0.01;-0.01;0.38;-0.0004;3.92;188.91;111.66
253.5;-1.4375;-0.8125;-0.02;0;0.36;-0.00036;3.97;189.25;110.23
252.5;-1.375;-0.8125;-0.02;0;0.36;-0.00037;4.02;189.71;108.72
251.5;-1.3125;-0.75;-0.01;0.01;0.36;-0.00037;4.07;190.18;107.3
250.5;-1.25;-0.75;-0.01;0.02;0.34;-0.00037;4.22;190.61;102.84
250.5;-1.25;-0.75;0;0.02;0.34;-0.0003;4.23;190.61;102.81
247.625;-1.1875;-0.8125;0.01;0.02;0.33;-0.00034;4.26;191.97;101.79
246.6875;-1.125;-0.875;0.02;0.02;0.33;-0.00035;4.31;192.28;100.45
245.75;-1.1875;-0.875;0.02;0.03;0.33;-0.00035;4.36;192.68;99.12
245.0625;-1.1875;-0.9375;0.02;0.01;0.32;-0.00033;4.41;193.07;97.83
244.125;-1.25;-1;0.02;0;0.31;-0.00032;4.57;193.47;93.92
242.4375;-1.3125;-0.9375;0.01;0;0.3;-0.00022;4.57;193.47;93.88
241.5625;-1.3125;-0.9375;0;-0.01;0.3;-0.00027;4.6;194.65;93.23
240.875;-1.3125;-0.9375;-0.01;-0.01;0.29;-0.00028;4.65;194.87;92.14
240.0625;-1.3125;-0.875;-0.01;-0.01;0.29;-0.00027;4.7;195.21;91.12
239.25;-1.3125;-0.875;-0.02;-0.01;0.28;-0.00024;4.75;195.54;90.25
238.5;-1.25;-0.875;-0.02;0;0.27;-0.00021;4.92;195.84;87.49
237.125;-1.125;-0.8125;-0.01;0.01;0.26;-0.00012;4.92;195.84;87.47
236.375;-1.125;-0.8125;-0.01;0.01;0.26;-0.00015;4.93;196.87;87.26
235.6875;-1.0625;-0.8125;-0.01;0.02;0.25;-0.00014;4.98;196.97;86.72
235.125;-1.0625;-0.8125;0;0.02;0.25;-0.00014;5.03;197.23;86.26
234.4375;-1.0625;-0.875;0.01;0.02;0.25;-0.00013;5.07;197.46;85.77
233.6875;-1.125;-0.9375;0.02;0.02;0.24;-0.0001;5.27;197.7;84.3
232.5;-1.125;-1;0.02;0.02;0.23;0.00001;5.27;197.7;84.3
231.875;-1.25;-1;0.02;0.01;0.23;-0.00002;5.27;197.7;84.3
231.1875;-1.3125;-1;0.01;0;0.23;-0.00005;5.32;198.56;84.12
230.5625;-1.375;-1;0.01;0;0.22;-0.00001;5.37;198.75;84.1
229.9375;-1.4375;-1;0.01;-0.01;0.22;0.00001;5.42;198.91;84.13
229.375;-1.4375;-1;0;-0.01;0.21;0.00002;5.47;199.07;84.2
228.875;-1.4375;-0.9375;-0.01;-0.01;0.21;0.00003;5.61;199.22;84.56
228.875;-1.4375;-0.9375;-0.02;-0.01;0.21;0.00007;5.61;199.22;84.57
227.125;-1.4375;-0.875;-0.02;-0.01;0.21;0.00004;5.67;199.59;84.74
226.5625;-1.375;-0.875;-0.02;0.01;0.21;0.00004;5.7;199.69;84.88
226.0625;-1.3125;-0.875;-0.02;0.02;0.21;0.00006;5.75;199.76;85.1
225.5;-1.3125;-0.875;-0.01;0.02;0.2;0.00009;5.8;199.83;85.46
224.9375;-1.25;-0.875;0;0.02;0.21;0.00007;5.96;199.89;86.24
224.9375;-1.25;-0.875;0.01;0.02;0.21;0.00012;5.96;199.89;86.26
223.3125;-1.1875;-1;0.01;0.02;0.21;0.00008;5.99;200;86.46
222.75;-1.1875;-1;0.02;0.02;0.21;0.00009;6.04;200;86.81
222.3125;-1.25;-1.0625;0.02;0.01;0.2;0.00011;6.08;200;87.18
221.75;-1.25;-1.0625;0.02;0;0.21;0.00007;6.13;199.98;87.45
221.125;-1.3125;-1.0625;0.01;0;0.21;0.00006;6.3;199.95;88.21
220.0625;-1.3125;-1;0.01;-0.01;0.21;0.00013;6.3;199.95;88.23
219.5;-1.3125;-1;0;-0.01;0.21;0.00012;6.33;199.75;88.47
218.9375;-1.3125;-1;-0.01;-0.01;0.21;0.00011;6.38;199.71;88.9
218.3125;-1.3125;-0.9375;-0.01;0;0.21;0.00012;6.42;199.61;89.32
217.75;-1.25;-0.875;-0.02;-0.01;0.21;0.00012;6.47;199.51;89.77
217.1875;-1.1875;-0.875;-0.02;0.01;0.23;0.00002;6.64;199.39;90.03
216.0625;-1.0625;-0.875;-0.01;0.02;0.22;0.00009;6.65;199.39;90.04
215.4375;-1;-0.875;-0.01;0.02;0.22;0.00009;6.67;198.86;90.2
214.875;-1;-0.875;0;0.02;0.22;0.00009;6.71;198.79;90.54
214.25;-1;-0.9375;0;0.03;0.22;0.0001;6.76;198.62;90.92
213.625;-0.9375;-1;0.01;0.02;0.22;0.00009;6.82;198.43;91.32
213;-0.9375;-1.0625;0.02;0.01;0.23;0.00001;7;198.2;91.4
211.25;-1.0625;-1.0625;0.02;0;0.23;0.00005;7.01;198.2;91.41
210.75;-1.125;-1.0625;0.01;-0.01;0.23;0.00008;7.05;197.29;91.66
210.125;-1.125;-1.0625;0.01;-0.01;0.22;0.0001;7.09;197.08;92.04
209.625;-1.1875;-1;0;-0.01;0.22;0.00009;7.14;196.81;92.39
209;-1.1875;-1;0;-0.01;0.23;0.00007;7.19;196.54;92.66
208.375;-1.1875;-1;-0.02;-0.01;0.23;0.00007;7.36;196.26;93.69
208.375;-1.1875;-1;-0.02;0;0.22;0.00011;7.37;196.26;93.71
206.625;-1.1875;-0.9375;-0.02;0.01;0.23;0.00009;7.38;195.1;93.82
205.9375;-1.125;-0.875;-0.02;0.01;0.23;0.00008;7.43;194.99;94.1
205.3125;-1.125;-0.875;-0.01;0.02;0.23;0.0001;7.48;194.66;94.45
204.6875;-1.0625;-0.9375;-0.01;0.03;0.23;0.0001;7.52;194.32;94.81
204.1875;-1.0625;-0.9375;0.01;0.02;0.23;0.00004;7.67;193.96;95.29
204.1875;-1.0625;-0.9375;0.01;0.03;0.23;0.00007;7.67;193.96;95.3
202.25;-1.125;-1.125;0.02;0.02;0.23;0.00007;7.72;192.79;95.54
201.5625;-1.1875;-1.1875;0.02;0.01;0.23;0.00007;7.77;192.45;95.81
201.0625;-1.1875;-1.1875;0.02;0.01;0.24;0.00005;7.81;192.04;96.01
200.4375;-1.25;-1.1875;0.02;0;0.23;0.00008;7.86;191.63;96.3
199.75;-1.3125;-1.125;0.01;-0.01;0.24;0.00005;7.91;191.22;96.48
199.125;-1.375;-1.125;0.01;-0.01;0.25;-0.00002;7.96;190.79;96.4
198.4375;-1.375;-1.125;0;-0.01;0.25;-0.00004;8;190.36;96.25
197.875;-1.375;-1.0625;-0.01;-0.01;0.25;-0.00003;8.05;189.95;96.15
197.1875;-1.375;-1;-0.01;-0.01;0.24;0;8.1;189.53;96.15
196.5;-1.375;-0.9375;-0.01;0;0.24;0.00002;8.15;189.08;96.2
195.9375;-1.3125;-0.9375;-0.01;0;0.24;0.00001;8.19;188.65;96.25
195.25;-1.25;-0.9375;-0.02;0.01;0.24;0.00001;8.24;188.21;96.28
194.625;-1.1875;-0.875;-0.01;0.02;0.25;-0.00003;8.29;187.76;96.18
193.9375;-1.125;-0.9375;-0.01;0.03;0.25;-0.00004;8.34;187.29;96.01
193.375;-1.125;-0.9375;0;0.03;0.25;-0.00005;8.39;186.8;95.8
192.6875;-1.125;-1;0;0.02;0.25;-0.00005;8.44;186.3;95.59
192;-1.125;-1.0625;0.01;0.03;0.24;-0.00004;8.49;185.8;95.44
191.3125;-1.125;-1.0625;0.02;0.02;0.25;-0.00009;8.54;185.3;95.07
190.625;-1.125;-1.125;0.02;0.01;0.25;-0.00011;8.59;184.79;94.64
189.9375;-1.125;-1.125;0.01;0;0.24;-0.00008;8.64;184.27;94.36
189.25;-1.1875;-1.125;0.01;0;0.24;-0.00007;8.69;183.79;94.08
188.5625;-1.1875;-1.125;0.01;-0.01;0.24;-0.00008;8.73;183.27;93.78
187.9375;-1.25;-1.125;0.01;-0.02;0.25;-0.00012;8.78;182.81;93.31
187.375;-1.25;-1.0625;0;-0.02;0.24;-0.0001;8.83;182.3;92.92
186.6875;-1.25;-1;-0.01;-0.02;0.24;-0.00009;8.88;181.77;92.58
186;-1.25;-0.9375;-0.01;-0.01;0.24;-0.0001;8.93;181.28;92.19
185.375;-1.1875;-0.875;-0.01;-0.01;0.24;-0.00014;8.97;180.76;91.69
184.6875;-1.1875;-0.875;-0.02;0;0.24;-0.00013;9.02;180.27;91.19
184;-1.125;-0.8125;-0.01;0.01;0.24;-0.00016;9.07;179.77;90.58
183.5;-1.0625;-0.8125;-0.01;0.02;0.24;-0.00017;9.12;179.26;89.89
182.8125;-1.0625;-0.8125;-0.01;0.02;0.24;-0.00018;9.17;178.72;89.23
182.1875;-1.0625;-0.875;0;0.03;0.23;-0.00016;9.22;178.23;88.58
181.5;-1;-0.9375;0.01;0.03;0.22;-0.00013;9.26;177.7;88.16
181;-1;-0.9375;0.01;0.03;0.22;-0.00016;9.31;177.26;87.59
180.375;-1;-1;0.01;0.02;0.22;-0.00017;9.36;176.78;86.95
179.75;-1;-1.0625;0.01;0.02;0.22;-0.00019;9.41;176.29;86.23
179.125;-1.0625;-1.125;0.01;0.01;0.23;-0.00022;9.45;175.79;85.45
178.625;-1.0625;-1.125;0.02;0;0.23;-0.00023;9.5;175.33;84.6
178;-1.125;-1.125;0.01;-0.01;0.23;-0.00024;9.54;174.86;83.68
177.375;-1.125;-1.0625;0.01;-0.01;0.22;-0.00021;9.59;174.37;82.85
176.875;-1.1875;-1.0625;0;-0.01;0.21;-0.00021;9.64;173.88;82.06
176.3125;-1.1875;-1.0625;0;-0.02;0.21;-0.00021;9.69;173.4;81.25
175.6875;-1.1875;-1;-0.01;-0.01;0.21;-0.00025;9.74;172.92;80.34
175.125;-1.1875;-0.9375;-0.01;-0.01;0.2;-0.00022;9.79;172.46;79.5
174.5625;-1.1875;-0.875;-0.01;0;0.2;-0.00023;9.84;172;78.6
174;-1.1875;-0.875;-0.02;0;0.2;-0.00025;9.88;171.52;77.67
173.5625;-1.125;-0.875;-0.01;0.01;0.2;-0.00026;9.93;171.07;76.67
173;-1.125;-0.8125;-0.01;0.02;0.2;-0.00028;9.98;170.61;75.65
172.4375;-1.125;-0.875;0;0.02;0.19;-0.00025;10.03;170.18;74.67
171.875;-1.125;-0.875;0;0.02;0.18;-0.00025;10.08;169.73;73.75
171.375;-1.125;-0.9375;0;0.03;0.18;-0.00024;10.12;169.32;72.84
171;-1.125;-1;0.01;0.03;0.18;-0.00026;10.17;168.89;71.83
170.5;-1.125;-1.0625;0.01;0.02;0.18;-0.00029;10.22;168.47;70.7
170;-1.1875;-1.125;0.01;0.02;0.18;-0.0003;10.27;168.05;69.58
169.5;-1.1875;-1.1875;0.01;0.01;0.18;-0.00033;10.32;167.66;68.39
169;-1.25;-1.1875;0.01;0;0.17;-0.00033;10.37;167.28;67.04
168.625;-1.3125;-1.1875;0.01;-0.01;0.17;-0.00034;10.41;166.86;65.92
168.1875;-1.3125;-1.1875;0.01;-0.01;0.16;-0.00033;10.46;166.54;64.74
167.8125;-1.3125;-1.125;0;-0.02;0.15;-0.00032;10.5;166.19;63.6
167.375;-1.375;-1.0625;0;-0.02;0.15;-0.00032;10.55;165.84;62.35
166.9375;-1.375;-1;-0.01;-0.02;0.15;-0.00032;10.6;165.47;61.22
166.625;-1.375;-1;-0.01;-0.01;0.14;-0.00032;10.65;165.15;59.99
166.25;-1.375;-0.9375;-0.01;0;0.14;-0.00031;10.7;164.81;58.76
165.8125;-1.3125;-0.9375;-0.01;0.01;0.13;-0.00031;10.75;164.47;57.56
165.4375;-1.3125;-0.875;-0.01;0.02;0.13;-0.00033;10.8;164.15;56.2
165.125;-1.25;-0.9375;-0.01;0.02;0.12;-0.00034;10.85;163.81;54.96
164.75;-1.25;-0.9375;0;0.03;0.13;-0.00039;10.9;163.53;53.43
164.375;-1.3125;-1;0;0.02;0.12;-0.00038;10.95;163.24;51.94
164.0625;-1.3125;-1.0625;0.01;0.03;0.12;-0.00037;11;162.96;50.4
163.6875;-1.3125;-1.125;0.01;0.02;0.11;-0.00037;11.05;162.68;48.99
163.375;-1.3125;-1.1875;0.01;0.01;0.1;-0.00037;11.1;162.43;47.58
163.0625;-1.375;-1.25;0.01;0.01;0.1;-0.00037;11.15;162.19;46.03
162.8125;-1.375;-1.25;0.01;0;0.09;-0.00037;11.2;161.94;44.52
162.5625;-1.4375;-1.25;0.01;-0.01;0.09;-0.00039;11.25;161.72;43.2
162.25;-1.4375;-1.25;0;-0.01;0.09;-0.00039;11.29;161.54;41.81
162;-1.4375;-1.1875;0;-0.02;0.08;-0.0004;11.34;161.36;40.27
161.8125;-1.4375;-1.1875;-0.01;-0.02;0.08;-0.00039;11.39;161.18;38.8
161.625;-1.4375;-1.125;-0.01;-0.02;0.07;-0.00037;11.44;161.02;37.42
161.4375;-1.4375;-1.0625;-0.01;-0.01;0.06;-0.00036;11.48;160.87;36.07
161.25;-1.4375;-1;-0.02;-0.01;0.06;-0.00037;11.53;160.73;34.67
161.125;-1.375;-1;-0.02;0;0.05;-0.00036;11.58;160.6;33.3
160.9375;-1.375;-0.9375;-0.01;0.01;0.05;-0.00039;11.63;160.48;31.79
160.8125;-1.3125;-0.9375;-0.01;0.01;0.04;-0.00038;11.68;160.37;30.31
160.6875;-1.3125;-1;0;0.02;0.03;-0.00033;11.73;160.28;28.97
160.5625;-1.3125;-1.0625;0;0.02;0.02;-0.00032;11.78;160.2;27.86
160.5;-1.3125;-1.125;0;0.03;0.02;-0.00033;11.83;160.14;26.46
160.4375;-1.3125;-1.1875;0.01;0.02;0.01;-0.00032;11.87;160.08;25.5
160.4375;-1.3125;-1.25;0.01;0.02;0.01;-0.00032;11.92;160.05;24.29
160.4375;-1.3125;-1.3125;0.01;0.01;0;-0.00032;11.96;160.02;23.09
160.4375;-1.3125;-1.3125;0.01;0;0;-0.00033;12.01;160;21.86
160.4375;-1.375;-1.3125;0.01;0;-0.01;-0.00031;12.06;160;20.65
160.4375;-1.375;-1.3125;0;-0.01;-0.01;-0.00032;12.11;160.01;19.41
160.4375;-1.375;-1.3125;0;-0.02;-0.02;-0.0003;12.15;160.03;18.43
160.4375;-1.375;-1.3125;0;-0.02;-0.03;-0.00028;12.21;160.07;17.3
160.5;-1.375;-1.25;-0.01;-0.02;-0.03;-0.0003;12.25;160.12;16.23
160.625;-1.375;-1.1875;-0.01;-0.02;-0.03;-0.00031;12.3;160.17;15.08
160.6875;-1.375;-1.125;-0.01;-0.02;-0.04;-0.00028;12.35;160.25;13.87
160.8125;-1.375;-1.125;-0.01;-0.01;-0.04;-0.00029;12.4;160.34;12.95
160.875;-1.3125;-1.0625;-0.01;0;-0.05;-0.00028;12.44;160.43;11.85
161;-1.3125;-1.0625;-0.01;0;-0.05;-0.00027;12.49;160.54;10.8
161.125;-1.3125;-1.0625;-0.01;0.01;-0.04;-0.00037;12.54;160.67;9.42
161.25;-1.3125;-1.0625;0;0.02;-0.03;-0.00042;12.59;160.8;7.9
161.375;-1.3125;-1.125;0;0.02;-0.04;-0.00041;12.64;160.94;6.34
161.4375;-1.3125;-1.1875;0;0.02;-0.04;-0.00042;12.69;161.1;4.71
161.5625;-1.3125;-1.25;0;0.02;-0.05;-0.0004;12.74;161.28;3.12
161.6875;-1.3125;-1.3125;0;0.02;-0.05;-0.00039;12.79;161.47;1.64
161.8125;-1.3125;-1.3125;0;0.01;-0.04;-0.00048;12.84;161.67;-0.23
161.9375;-1.3125;-1.375;0;0;-0.03;-0.00054;12.89;161.89;-2.33
162.0625;-1.3125;-1.375;0;0;-0.03;-0.00057;12.94;162.12;-4.57
162.125;-1.3125;-1.375;0;-0.01;-0.04;-0.00056;12.99;162.36;-6.74
162.25;-1.3125;-1.375;0;-0.01;-0.05;-0.00054;13.03;162.61;-8.73
162.375;-1.3125;-1.375;0;-0.01;-0.05;-0.00052;13.08;162.86;-10.72
162.5;-1.3125;-1.375;0;-0.02;-0.05;-0.00055;13.13;163.13;-12.65
162.625;-1.3125;-1.3125;0;-0.01;-0.06;-0.00053;13.17;163.39;-14.59
162.75;-1.3125;-1.25;0;-0.02;-0.04;-0.00065;13.22;163.66;-16.95
162.875;-1.3125;-1.25;0;-0.01;-0.04;-0.00068;13.27;163.95;-19.46
162.9375;-1.3125;-1.1875;0;0;-0.06;-0.0006;13.32;164.25;-21.73
163.125;-1.3125;-1.1875;0;0;-0.1;-0.0004;13.36;164.56;-23.15
163.3125;-1.3125;-1.1875;-0.01;0.01;-0.16;-0.0001;13.41;164.87;-23.54
163.6875;-1.25;-1.1875;0;0.01;-0.21;0.00015;13.46;165.24;-22.99
164.125;-1.25;-1.25;-0.01;0.03;-0.23;0.00024;13.51;165.57;-22.07
164.75;-1.25;-1.3125;0;0.01;-0.22;0.00019;13.56;165.93;-21.34
165.375;-1.25;-1.375;0;0.02;-0.21;0.00011;13.61;166.31;-20.91
166;-1.25;-1.4375;0;0.01;-0.19;0.00001;13.66;166.7;-20.87
166.5;-1.1875;-1.5;0;0.01;-0.17;-0.00006;13.71;167.09;-21.08
167;-1.1875;-1.5;0;0;-0.19;0.00003;13.76;167.49;-20.98
167.5;-1.1875;-1.5;0;-0.01;-0.2;0.00007;13.81;167.91;-20.68
168.0625;-1.1875;-1.5;0;-0.02;-0.21;0.00009;13.86;168.33;-20.35
168.6875;-1.125;-1.5;0;-0.02;-0.2;0.00006;13.9;168.72;-20.11
169.25;-1.125;-1.4375;0;-0.02;-0.19;-0.00001;13.95;169.14;-20.16
169.75;-1.125;-1.4375;0;-0.02;-0.19;-0.00002;14;169.59;-20.21
170.1875;-1.125;-1.375;0;-0.02;-0.18;-0.00004;14.05;170.01;-20.36
170.6875;-1.125;-1.3125;0;-0.02;-0.2;0.00003;14.09;170.46;-20.25
171.1875;-1.0625;-1.25;0;-0.01;-0.2;0.00004;14.14;170.87;-20.1
171.75;-1.0625;-1.25;0;0;-0.2;0.00003;14.19;171.33;-19.98
172.1875;-1.0625;-1.25;0;0;-0.19;-0.00001;14.24;171.8;-20
172.75;-1.0625;-1.25;0;0.01;-0.19;0;14.29;172.28;-20.01
173.25;-1.0625;-1.25;0;0.01;-0.18;-0.00004;14.34;172.76;-20.18
173.75;-1.0625;-1.3125;0;0.02;-0.2;0.00005;14.39;173.25;-19.99
174.3125;-1;-1.375;0;0.02;-0.21;0.00009;14.44;173.73;-19.66
174.875;-1;-1.4375;0;0.02;-0.2;0.00006;14.48;174.19;-19.46
175.3125;-1;-1.5;-0.01;0.02;-0.19;0.00003;14.53;174.67;-19.33
